Passport_Record_ID,Project,Year_Quarter_Month_Week_ID,Month_Key,BOQ,BOQ_Name,IWP_ID_EXPORT,System_Label,Unit of Measure,Unit_Price,Plan_Qty_Month,Plan_PV_WorkValue_auto,Plan_Work_Start_Date,Plan_Work_Finish_Date,Facility_Building.,crew,Construction_Discipline.,Budget_Status
MP-April-2026-BOQ 2041-01-26-06  –  Зонты вентиляционные из листовой стали круглого сечения диаметром: 400 мм-16160-17 -БОВ-1-17-В-30 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W14,April-2026,2041-01-26-06,Зонты вентиляционные из листовой стали круглого сечения диаметром: 400 мм,БОВ-1-17-В-30,"EN-001, 002, 003, 004, 005, 006",шт. / pcs,"₽20500,00","1,000","₽   20500,00",2 Апреля 2026 г.,8 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
"MP-April-2026-BOQ ""2041-01-27-02  –  Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки""-16160-17 -БОВ-1-17-В-30 • Титул 16160-17 • Вентиляция-АСИ-6",PRJ_001_БХК,2026-Q2-04-W14,April-2026,2041-01-27-02,"Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки",БОВ-1-17-В-30,"EN-001, 002, 003, 004, 005, 006",м3 / m3,"₽29424,79","0,540","₽   15889,39",2 Апреля 2026 г.,8 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-17 -БОВ-1-17-В-9 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W15,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-17-В-9,EF-001,м2 / m2,"₽7164,00","36,370","₽   260554,68",9 Апреля 2026 г.,11 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-17 -БОВ-1-17-В-10 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W15,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-17-В-10,EF-002,м2 / m2,"₽7164,00","62,100","₽   444884,40",12 Апреля 2026 г.,16 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-17 -БОВ-1-17-В-15 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W16,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-17-В-15,EF-007,м2 / m2,"₽7164,00","0,210","₽   1504,44",17 Апреля 2026 г.,17 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-17 -БОВ-1-17-В-18 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W16,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-17-В-18,EF-010,м2 / m2,"₽7164,00","10,890","₽   78015,96",18 Апреля 2026 г.,19 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
"MP-April-2026-BOQ ""2041-01-27-02  –  Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки""-16160-17 -БОВ-1-17-В-18 • Титул 16160-17 • Вентиляция-АСИ-6",PRJ_001_БХК,2026-Q2-04-W16,April-2026,2041-01-27-02,"Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки",БОВ-1-17-В-18,EF-010,м3 / m3,"₽29424,79","0,440","₽   12946,91",19 Апреля 2026 г.,20 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Rejected - Отклонен
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-17 -БОВ-1-17-В-19 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-17-В-19,EF-011,м2 / m2,"₽7164,00","30,340","₽   217355,76",21 Апреля 2026 г.,22 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
"MP-April-2026-BOQ ""2041-01-27-02  –  Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки""-16160-17 -БОВ-1-17-В-19 • Титул 16160-17 • Вентиляция-АСИ-6",PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-27-02,"Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки",БОВ-1-17-В-19,EF-011,м3 / m3,"₽29424,79","1,300","₽   38252,23",22 Апреля 2026 г.,23 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Rejected - Отклонен
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-17 -БОВ-1-17-В-21 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-17-В-21,EF-013,м2 / m2,"₽7164,00","1,090","₽   7808,76",24 Апреля 2026 г.,24 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-17 -БОВ-1-17-В-22 • Титул 16160-17 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-17-В-22,EF-014,м2 / m2,"₽7164,00","0,410","₽   2937,24",24 Апреля 2026 г.,24 Апреля 2026 г.,16160-17 ,АСИ-6,Вентиляция ,Approved - Утверждено
MP-April-2026-BOQ 2041-01-26-01  –  Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные)-16160-13 -БОВ-1-13-В-9 • Титул 16160-13 • Вентиляция-АСИ-6,PRJ_001_БХК,2026-Q2-04-W17,April-2026,2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),БОВ-1-13-В-9,EF-001,м2 / m2,"₽7164,00","98,220","₽   703648,08",25 Апреля 2026 г.,28 Апреля 2026 г.,16160-13 ,АСИ-6,Вентиляция ,Approved - Утверждено
