Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"2041-01-23-31 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 1000 мм,2041-01-23-31,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 1000 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 38503,03"",",,,,,,,,
"2041-01-23-29 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 560 мм,2041-01-23-29,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 560 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 30500,00"",",,,,,,,,
"2041-01-27-02 – Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки,2041-01-27-02,""Изоляция воздуховодов матами минераловатными из каменной ваты, с односторонним покрытием сеткой из стальной гальванизированной проволоки"",16160-13 ,Вентиляция ,м3 / m3,""26,59"",""₽ 29424,79"",""₽ 782405,17""",,,,,,,,
"2041-01-26-01 – Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),2041-01-26-01,Прокладка воздуховодов из листовой оцинкованной стали и алюминия класса Н (нормальные),16160-13 ,Вентиляция ,м2 / m2,""539,64"",""₽ 7164,00"",""₽ 3865980,96""",,,,,,,,
"2041-03-02 – Вентиляторы осевые, канальные,2041-03-02,""Вентиляторы осевые, канальные"",16160-13 ,Вентиляция ,,,,",,,,,,,,
"2041-01-26-16 – Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 1600 мм,2041-01-26-16,Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 1600 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 196539,00"",""₽ 393078,00""",,,,,,,,
"2041-03-02-02 – Вентиляторы осевые, канальные массой: до 0,05 т,2041-03-02-02,""Вентиляторы осевые, канальные массой: до 0,05 т"",16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 16960,00"",""₽ 33920,00""",,,,,,,,
"2041-01-16 – Увлажнители, парогенераторы, блок адиабатического увлажнения,2041-01-16,""Увлажнители, парогенераторы, блок адиабатического увлажнения"",16160-13 ,Вентиляция ,,,,",,,,,,,,
2041-01-23 – Заслонки,2041-01-23,Заслонки,16160-13,Вентиляция,,,,
"2041-01-26-03 – Зонты вентиляционные из листовой стали круглого сечения диаметром: 200 мм,2041-01-26-03,Зонты вентиляционные из листовой стали круглого сечения диаметром: 200 мм,16160-13 ,Вентиляция ,шт. / pcs,""1,00"",""₽ 5945,68"",""₽ 5945,68""",,,,,,,,
"2041-01-26-18 – Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 2600 мм,2041-01-26-18,Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 2600 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 255499,00"",""₽ 510998,00""",,,,,,,,
"2041-01-27-03 – Огнезащитное покрытие воздуховодов комплексной огнезащитой на основе базальтового рулонного материала с пределом огнестойкости 45 минут,2041-01-27-03,Огнезащитное покрытие воздуховодов комплексной огнезащитой на основе базальтового рулонного материала с пределом огнестойкости 45 минут,16160-13 ,Вентиляция ,м2 / m2,""65,80"",""₽ 6249,99"",""₽ 411249,34""",,,,,,,,
"2041-01-16-04 – Увлажнитель, парогенератор, блок адиабатического увлажнения – мощность от 100 кг/ч до 150 кг/ч (вес от 100 кг до 170 кг),2041-01-16-04,""Увлажнитель, парогенератор, блок адиабатического увлажнения – мощность от 100 кг/ч до 150 кг/ч (вес от 100 кг до 170 кг)"",16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 27270,00"",""₽ 54540,00""",,,,,,,,
"2041-01-23-35 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 4000 мм,2041-01-23-35,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: периметром до 4000 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 49048,76"",""₽ 98097,52""",,,,,,,,
"2041-02-04-12 – Регистр из стальных водогазопроводных труб диаметром нитки 125 мм,2041-02-04-12,Регистр из стальных водогазопроводных труб диаметром нитки 125 мм,16160-13 ,Отопление ,м / m,""10,40"",""₽ 2539,08"",""₽ 26406,43""",,,,,,,,
