Name,BoQ_Code,Description,Facility_Building,Construction_Discipline,Unit of Measure,Project_Qty,Unit_Price,Total Value
"2041-01-24-06 – Огнезадерживающие клапаны периметром до 4500 мм,2041-01-24-06,Огнезадерживающие клапаны периметром до 4500 мм,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 39000,10"",""₽ 78000,20""",,,,,,,,
"2041-01-25-01 – Шумоглушители – длина до 2000 мм, размер секции до 0,05 м2,2041-01-25-01,""Шумоглушители – длина до 2000 мм, размер секции до 0,05 м2"",16160-13 ,Вентиляция ,шт. / pcs,""1,00"",""₽ 9407,00"",""₽ 9407,00""",,,,,,,,
"2041-01-26-05 – Зонты вентиляционные из листовой стали круглого сечения диаметром: 315 мм,2041-01-26-05,Зонты вентиляционные из листовой стали круглого сечения диаметром: 315 мм,16160-13 ,Вентиляция ,шт. / pcs,""1,00"",""₽ 11200,00"",""₽ 11200,00""",,,,,,,,
"2041-01-26-14 – Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 1000 мм,2041-01-26-14,Зонты вентиляционные из листовой стали прямоугольного сечения периметром: 1000 мм,16160-13 ,Вентиляция ,шт. / pcs,""1,00"",""₽ 180000,00"",""₽ 180000,00""",,,,,,,,
"2041-01-25-06 – Шумоглушители – длина до 2000 мм, размер секции от 1,9 м2 до 2,2 м2,2041-01-25-06,""Шумоглушители – длина до 2000 мм, размер секции от 1,9 м2 до 2,2 м2"",16160-13 ,Вентиляция ,шт. / pcs,,""₽ 38500,00"",",,,,,,,,
"2041-03-01-04 – Вентиляторы радиальные массой: до 0,4 т,2041-03-01-04,""Вентиляторы радиальные массой: до 0,4 т"",16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 110378,00"",""₽ 220756,00""",,,,,,,,
"2041-02-04-03 – Конвектор электрический,2041-02-04-03,Конвектор электрический,16160-13 ,Отопление ,шт. / pcs,,""₽ 2124,44"",",,,,,,,,
"2041-02-06-01 – Медные трубы для трубопроводов хладагента до DN20, включая все фитинги,2041-02-06-01,""Медные трубы для трубопроводов хладагента до DN20, включая все фитинги"",16160-13 ,Кондиционирование,м / m,""750,18"",""₽ 2087,80"",""₽ 1566225,80""",,,,,,,,
"2041-02-05-05 – Узлы регулирования - DN 40,2041-02-05-05,Узлы регулирования - DN 40,16160-13 ,Отопление ,компл. / package,""2,00"",""₽ 13874,00"",""₽ 27748,00""",,,,,,,,
"2041-01-23-28 – Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 355 мм,2041-01-23-28,Заслонки воздушные и клапаны воздушные КВР с электрическим или пневматическим приводом: диаметром до 355 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 19132,89"",",,,,,,,,
"2041-01-23-24 – Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 1600 мм,2041-01-23-24,Заслонки воздушные и клапаны воздушные КВР с ручным приводом: периметром до 1600 мм,16160-13 ,Вентиляция ,шт. / pcs,""13,00"",""₽ 25483,12"",""₽ 331280,56""",,,,,,,,
2041-02-01 – Трубопроводные материалы,2041-02-01,Трубопроводные материалы,16160-13,Отопление,,,,
"2041-02-11-04 – Индивидуальный тепловой пункт, Ду ввода ТС 80 мм,2041-02-11-04,""Индивидуальный тепловой пункт, Ду ввода ТС 80 мм"",16160-13 ,Теплоснабжение,компл. / package,,""₽ 570577,00"",",,,,,,,,
"2041-02-05-04 – Узлы регулирования - DN 32,2041-02-05-04,Узлы регулирования - DN 32,16160-13 ,Теплоснабжение,компл. / package,,""₽ 13007,66"",",,,,,,,,
"2041-01-02-05 – Приточно-вытяжная установка производительностью до 30 тыс. м3/час,2041-01-02-05,Приточно-вытяжная установка производительностью до 30 тыс. м3/час,16160-13 ,Вентиляция ,шт. / pcs,""2,00"",""₽ 1467978,00"",""₽ 2935956,00""",,,,,,,,
"2041-02-11-07 – Индивидуальный тепловой пункт, Ду ввода ТС от 90 до 160 мм,2041-02-11-07,""Индивидуальный тепловой пункт, Ду ввода ТС от 90 до 160 мм"",16160-13 ,Отопление ,компл. / package,""1,00"",""₽ 1167148,00"",""₽ 1167148,00""",,,,,,,,
"2041-01-23-15 – Клапаны воздушные утепленные КВУ с электрическим или пневматическим приводом периметром: до 5600 мм,2041-01-23-15,Клапаны воздушные утепленные КВУ с электрическим или пневматическим приводом периметром: до 5600 мм,16160-13 ,Вентиляция ,шт. / pcs,,""₽ 34404,15"",",,,,,,,,
"2041-02-07-11 – Оцинкованное стальное покрытие,2041-02-07-11,Оцинкованное стальное покрытие,16160-13 ,Изоляция трубопроводов,м2 / m2,,""₽ 1422,06"",",,,,,,,,
"2041-01-24-04 – Огнезадерживающие клапаны периметром до 1600 мм,2041-01-24-04,Огнезадерживающие клапаны периметром до 1600 мм,16160-13 ,Вентиляция ,шт. / pcs,""13,00"",""₽ 4956,29"",""₽ 64431,77""",,,,,,,,
"2041-01-26-24 – Прокладка гибких воздуховодов диаметром свыше 250 мм ,2041-01-26-24,Прокладка гибких воздуховодов диаметром свыше 250 мм ,16160-13 ,Вентиляция ,м / m,""14,00"",""₽ 3271,75"",""₽ 45804,50""",,,,,,,,
1300 – ТЕХНОЛОГИЧЕСКИЕ ТРУБОПРОВОДЫ,1300,ТЕХНОЛОГИЧЕСКИЕ ТРУБОПРОВОДЫ,16160-13,Отопление,,,,
"1300-06 – ПОДГОТОВКА, МОНТАЖ ЗРА И ВСТРОЕННЫХ ЭЛЕМЕНТОВ,1300-06,""ПОДГОТОВКА, МОНТАЖ ЗРА И ВСТРОЕННЫХ ЭЛЕМЕНТОВ"",16160-13 ,Отопление ,,,,",,,,,,,,
"1300-06-01 – Трубопроводная арматура ручная: шаровые краны, задвижки клиновые, дроссельные (шиберные) задвижки, обратные клапана и сопоставимые с ними изделия,1300-06-01,""Трубопроводная арматура ручная: шаровые краны, задвижки клиновые, дроссельные (шиберные) задвижки, обратные клапана и сопоставимые с ними изделия"",16160-13 ,Отопление ,,,,",,,,,,,,
"1300-06-01-01 – Монтаж Диаметр 0 - 25мм/0-1 дюйм, шаровые краны, задвижки клиновые, дроссельные (шиберные) задвижки, обратные клапаны, регулирующие клапаны и сопоставимые с ними изделия,1300-06-01-01,""Монтаж Диаметр 0 - 25мм/0-1 дюйм, шаровые краны, задвижки клиновые, дроссельные (шиберные) задвижки, обратные клапаны, регулирующие клапаны и сопоставимые с ними изделия"",16160-13 ,Отопление ,шт. / pcs,""12,00"",""₽ 4015,00"",""₽ 48180,00""",,,,,,,,
"1300-06-02-02 – Монтаж Диаметр 32 - 50мм/2 1/2-4 дюйма, встроенные элементы, такие как сетчатые фильтры, расходомеры, измерения расхода, трубы Вентури, коллекторы и сопоставимые с ними изделия,1300-06-02-02,""Монтаж Диаметр 32 - 50мм/2 1/2-4 дюйма, встроенные элементы, такие как сетчатые фильтры, расходомеры, измерения расхода, трубы Вентури, коллекторы и сопоставимые с ними изделия"",16160-13 ,Отопление ,шт. / pcs,,,",,,,,,,,
"1300-06-02 – Встроенные элементы (сетчатые фильтры, расходомеры, измерения расхода, трубы Вентури, коллекторы и сопоставимые с ними изделия),1300-06-02,""Встроенные элементы (сетчатые фильтры, расходомеры, измерения расхода, трубы Вентури, коллекторы и сопоставимые с ними изделия)"",16160-13 ,Отопление ,,,,",,,,,,,,
"1470 – УСТАНОВКА НЕТЕХНОЛОГИЧЕСКОГО ТРУБОПРОВОДА,1470,""УСТАНОВКА",,,,,,,,
"НЕТЕХНОЛОГИЧЕСКОГО ТРУБОПРОВОДА"",16160-13 ,Отопление ,,,,",,,,,,,,
"1470-03-02-02 – Монтаж ЗРА DN 20 (металл),1470-03-02-02,Монтаж ЗРА DN 20 (металл),16160-13 ,Отопление ,шт. / pcs,""29,00"",""₽ 3395,06"",""₽ 98456,74""",,,,,,,,
"1470-01-04-03 – Трубы из углеродистой стали, до Ду 100, включая все фитинги,1470-01-04-03,""Трубы из углеродистой стали, до Ду 100, включая все фитинги"",16160-13 ,Теплоснабжение,м / m,""168,00"",""₽ 8125,00"",""₽ 1365000,00""",,,,,,,,
"1470-01-02-02 – Пластиковая труба, ПВХ-U, до Ду 63, включая все фитинги,1470-01-02-02,""Пластиковая труба, ПВХ-U, до Ду 63, включая все фитинги"",16160-13 ,Отопление ,м / m,,""₽ 635,03"",",,,,,,,,
"1470-03-02-03 – Монтаж ЗРА DN 25 (металл),1470-03-02-03,Монтаж ЗРА DN 25 (металл),16160-13 ,Отопление ,шт. / pcs,""1,00"",""₽ 3395,06"",""₽ 3395,06""",,,,,,,,
"1470-01-12 – Трубы из нержавеющей стали, включая фитинги,1470-01-12,""Трубы из нержавеющей стали, включая фитинги"",16160-13 ,Кондиционирование,,,,",,,,,,,,
"1470-03-02-04 – Монтаж ЗРА DN 32 (металл),1470-03-02-04,Монтаж ЗРА DN 32 (металл),16160-13 ,Отопление ,шт. / pcs,""5,00"",""₽ 3600,00"",""₽ 18000,00""",,,,,,,,
"1470-03-02-07 – Монтаж ЗРА DN 65 (металл),1470-03-02-07,Монтаж ЗРА DN 65 (металл),16160-13 ,Теплоснабжение,шт. / pcs,""4,00"",""₽ 4350,00"",""₽ 17400,00""",,,,,,,,
1470-03 – МОНТАЖ ЗАПОРНО-РЕГУЛИРУЮЩЕЙ АРМАТУРЫ,1470-03,МОНТАЖ ЗАПОРНО-РЕГУЛИРУЮЩЕЙ АРМАТУРЫ,16160-13,Теплоснабжение,,,,
1470-03-02 – Металлическая запорно-регулирующая арматура,1470-03-02,Металлическая запорно-регулирующая арматура,16160-13,Теплоснабжение,,,,
"1470-03-02-08 – Монтаж ЗРА DN 80 (металл),1470-03-02-08,Монтаж ЗРА DN 80 (металл),16160-13 ,Теплоснабжение,шт. / pcs,""4,00"",""₽ 4990,00"",""₽ 19960,00""",,,,,,,,
"1470-01-12-01 – Трубы из нержавеющей стали, до Ду 32, включая все фитинги,1470-01-12-01,""Трубы из нержавеющей стали, до Ду 32, включая все фитинги"",16160-13 ,Кондиционирование,м / m,""48,46"",""₽ 6669,00"",""₽ 323179,74""",,,,,,,,
1470-01-02 – ПВХ трубы,1470-01-02,ПВХ трубы,16160-13,Отопление,,,,
"1470-03-02-09 – Монтаж ЗРА DN 100 (металл),1470-03-02-09,Монтаж ЗРА DN 100 (металл),16160-13 ,Теплоснабжение,шт. / pcs,,""₽ 9350,00"",",,,,,,,,
"1470-01-04-02 – Трубы из углеродистой стали, до Ду 63, включая все фитинги,1470-01-04-02,""Трубы из углеродистой стали, до Ду 63, включая все фитинги"",16160-13 ,Теплоснабжение,м / m,""84,00"",""₽ 5365,00"",""₽ 450660,00""",,,,,,,,
"1470-03-02-01 – Монтаж ЗРА DN 15 (металл),1470-03-02-01,Монтаж ЗРА DN 15 (металл),16160-13 ,Отопление ,шт. / pcs,""124,00"",""₽ 3168,72"",""₽ 392921,28""",,,,,,,,
"1470-01-04-05 – Трубы из углеродистой стали, до Ду 150, включая все фитинги,1470-01-04-05,""Трубы из углеродистой стали, до Ду 150, включая все фитинги"",16160-13 ,Теплоснабжение,м / m,,""₽ 10450,00"",",,,,,,,,
"1470-03-02-06 – Монтаж ЗРА DN 50 (металл),1470-03-02-06,Монтаж ЗРА DN 50 (металл),16160-13 ,Отопление ,шт. / pcs,""4,00"",""₽ 4100,32"",""₽ 16401,28""",,,,,,,,
"1470-01-12-02 – Трубы из нержавеющей стали, до Ду 63, включая все фитинги,1470-01-12-02,""Трубы из нержавеющей стали, до Ду 63, включая все фитинги"",16160-13 ,Кондиционирование,м / m,,""₽ 11607,95"",",,,,,,,,
"1470-01-04-01 – Трубы из углеродистой стали, до Ду 32, включая все фитинги,1470-01-04-01,""Трубы из углеродистой стали, до Ду 32, включая все фитинги"",16160-13 ,Отопление ,м / m,""504,00"",""₽ 2776,04"",""₽ 1399124,16""",,,,,,,,
"1470-01-04 – Монтаж Трубопроводов из углеродистой стали, включая фитинги,1470-01-04,""Монтаж Трубопроводов из углеродистой стали, включая фитинги"",16160-13 ,Отопление ,,,,",,,,,,,,
"1470-01-03 – Монтаж напорных труб из полиэтилена или аналога, включая фитинги,1470-01-03,""Монтаж напорных труб из полиэтилена или аналога, включая фитинги"",16160-13 ,Отопление ,,,,",,,,,,,,
"1470-01-04-04 – Трубы из углеродистой стали, до Ду 125, включая все фитинги,1470-01-04-04,""Трубы из углеродистой стали, до Ду 125, включая все фитинги"",16160-13 ,Теплоснабжение,м / m,""5,00"",""₽ 8750,00"",""₽ 43750,00""",,,,,,,,
"1470-01-03-02 – Пластиковые напорные Трубы из полиэтилена или аналога, до Ду 63, включая все фитинги,1470-01-03-02,""Пластиковые напорные Трубы из полиэтилена или аналога, до Ду 63,",,,,,,,,
"включая все фитинги"",16160-13 ,Кондиционирование,м / m,""62,63"",""₽ 2525,00"",""₽ 158140,75""",,,,,,,,
"1800 – МОНТАЖ МЕТАЛЛОКОНСТРУКЦИЙ,1800,""МОНТАЖ",,,,,,,,
"МЕТАЛЛОКОНСТРУКЦИЙ"",16160-13 ,КМ ,,,,",,,,,,,,
1800-01 – СБОРКА / УСТАНОВКА ОСНОВНЫХ МЕТАЛЛОКОНСТРУКЦИЙ,1800-01,СБОРКА / УСТАНОВКА ОСНОВНЫХ МЕТАЛЛОКОНСТРУКЦИЙ,16160-13,КМ,,,,
1800-01-02 – Воздухозаборные трубы,1800-01-02,Воздухозаборные трубы,16160-13,КМ,,,,
"1800-01-02-01 – Монтаж воздухозаборной трубы,1800-01-02-01,Монтаж воздухозаборной трубы,16160-13 ,КМ ,т / t,""5,53"",""₽ 116500,00"",""₽ 644245,00""",,,,,,,,
2200 – ИЗОЛЯЦИЯ,2200,ИЗОЛЯЦИЯ,16160-13,Изоляция трубопроводов,,,,
"2200-16-01-02 – Диаметр трубопровода DN 32 - 50 мм (1,25 - 2 дюйм),2200-16-01-02,""Диаметр трубопровода DN 32 - 50 мм (1,25 - 2 дюйм)"",16160-13 ,Изоляция трубопроводов,шт. / pcs,""12,00"",""₽ 750,00"",""₽ 9000,00""",,,,,,,,
2200-16-01-01 – Диаметр трубопровода DN 0 - 25 мм (0-1 дюйм),2200-16-01-01,Диаметр трубопровода DN 0 - 25 мм (0-1 дюйм),16160-13,Изоляция трубопроводов,шт. / pcs,,,
2200-16 – ИТОГО ТЕРМОЧЕХЛЫ ДЛЯ ЗРА,2200-16,ИТОГО ТЕРМОЧЕХЛЫ ДЛЯ ЗРА,16160-13,Изоляция трубопроводов,,,,
2200-17-01 – Теплоизоляция изделиями из вспененного каучука,2200-17-01,Теплоизоляция изделиями из вспененного каучука,16160-13,Изоляция трубопроводов,,,,
2200-16-01-04 – Диаметр трубопровода DN 125 - 200 мм (5-8 дюймов),2200-16-01-04,Диаметр трубопровода DN 125 - 200 мм (5-8 дюймов),16160-13,Изоляция трубопроводов,шт. / pcs,,,
2200-16 – ТЕРМОЧЕХЛЫ ДЛЯ ЗРА,2200-16,ТЕРМОЧЕХЛЫ ДЛЯ ЗРА,16160-13,Изоляция трубопроводов,,,,
"2200-16-01-03 – Диаметр трубопровода DN 65 - 100 мм (2,5-4 дюйма),2200-16-01-03,""Диаметр трубопровода DN 65 - 100 мм (2,5-4 дюйма)"",16160-13 ,Изоляция трубопроводов,шт. / pcs,""8,00"",""₽ 850,00"",""₽ 6800,00""",,,,,,,,
2200-17 – ТЕПЛОИЗОЛЯЦИЯ ИЗДЕЛИЯМИ ИЗ ВСПЕНЕННОГО КАУЧУКА,2200-17,ТЕПЛОИЗОЛЯЦИЯ ИЗДЕЛИЯМИ ИЗ ВСПЕНЕННОГО КАУЧУКА,16160-13,Изоляция трубопроводов,,,,
2200-16-01 – Изготовление и установка термоматов для ЗРА,2200-16-01,Изготовление и установка термоматов для ЗРА,16160-13,Изоляция трубопроводов,,,,
2200-17-01-01 – Теплоизоляция изделиями из вспененного каучука толщиной до 50 мм,2200-17-01-01,Теплоизоляция изделиями из вспененного каучука толщиной до 50 мм,16160-13,Изоляция трубопроводов,м2 / m2,,,
"2300 – АНТИКОРРОЗИОННАЯ ЗАЩИТА,2300,""АНТИКОРРОЗИОННАЯ",,,,,,,,
"ЗАЩИТА"",16160-13 ,АКЗ трубопроводов,,,,",,,,,,,,
"2300-01-01 – Система покраски A,2300-01-01,Система покраски A,16160-13 ,АКЗ трубопроводов,м2 / m2,""395,61"",""₽ 3190,00"",""₽ 1261995,90""",,,,,,,,
2300-01 – НАНЕСЕНИЕ СИСТЕМ АНТИКОРРОЗИЙНОЙ ЗАЩИТЫ,2300-01,НАНЕСЕНИЕ СИСТЕМ АНТИКОРРОЗИЙНОЙ ЗАЩИТЫ,16160-13,АКЗ трубопроводов,,,,
"2300-01-01-01 – Нанесение полной системы покраски A,2300-01-01-01,Нанесение полной системы покраски A,16160-13 ,АКЗ трубопроводов,м2 / m2,""395,61"",""₽ 3190,00"",""₽ 1261995,90""",,,,,,,,
"2300-01-02 – Система покраски B,2300-01-02,Система покраски B,16160-13 ,АКЗ трубопроводов,м2 / m2,""114,60"",""₽ 3306,00"",""₽ 378867,60""",,,,,,,,
2300-01-02-01 – Нанесение полной системы покраски B,2300-01-02-01,Нанесение полной системы покраски B,16160-13,АКЗ трубопроводов,,,,
"1500 – МОНТАЖ ОБОРУДОВАНИЯ КИПИА,1500,""МОНТАЖ",,,,,,,,
"ОБОРУДОВАНИЯ КИПИА"",16160-13 ,Автоматизация,,,,",,,,,,,,
"1500-04-02-01 – Контрольный армированный кабель с медными жилами сечением от 0.5мм до 1.0 мм и количеством жил от 2 до 16 шт,1500-04-02-01,""Контрольный армированный кабель с медными жилами сечением от",,,,,,,,
"0.5мм до 1.0 мм и количеством жил от 2 до 16 шт"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
1500-03-10-14 – Трубная кабельная проходка до d= 50мм,1500-03-10-14,Трубная кабельная проходка до d= 50мм,16160-13,Автоматизация,шт. / pcs,,,
1500-05-03-09 – Термометры,1500-05-03-09,Термометры,16160-13,Автоматизация,шт. / pcs,,,
1500-03 – ИТОГО ПРОКЛАДКА КАБЕЛЯ,1500-03,ИТОГО ПРОКЛАДКА КАБЕЛЯ,16160-13,Автоматизация,,,,
1500-05 – ИТОГО МОНТАЖ ОБОРУДОВАНИЯ НА СТРОИТЕЛЬНОЙ ПЛОЩАДКЕ,1500-05,ИТОГО МОНТАЖ ОБОРУДОВАНИЯ НА СТРОИТЕЛЬНОЙ ПЛОЩАДКЕ,16160-13,Автоматизация,,,,
1500-02-04 – Монтаж крышек вторичных кабельных лестниц и лотков,1500-02-04,Монтаж крышек вторичных кабельных лестниц и лотков,16160-13,Автоматизация,,,,
1500-05-02 – Установка КИП для измерения давления,1500-05-02,Установка КИП для измерения давления,16160-13,Автоматизация,,,,
"1500-03-10-02 – Рама, тип 2 (от 210 x 210 мм до 350 х 350мм ),1500-03-10-02,""Рама, тип 2 (от 210 x 210 мм до 350 х 350мм )"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
"1500-03-01-01 – Монтаж контрольного кабеля, не бронированного, надземная прокладка, с медными жилами и весом до 1 кг на 1 м.п.,1500-03-01-01,""Монтаж контрольного кабеля, не бронированного, надземная",,,,,,,,
"прокладка, с медными жилами и весом до 1 кг на 1 м.п."",16160-13 ,Автоматизация,м / m,,,",,,,,,,,
1500-03-10-08 – Секция вкладыша 30 x 30 мм,1500-03-10-08,Секция вкладыша 30 x 30 мм,16160-13,Автоматизация,шт. / pcs,,,
"1500-02-04-03 – Монтаж крышки кабельной лестницы или лотка шириной от 300мм до 450мм,1500-02-04-03,""Монтаж крышки кабельной лестницы или лотка шириной от 300мм до",,,,,,,,
"450мм"",16160-13 ,Автоматизация,м / m,,,",,,,,,,,
1500-05-04 – Установка КИП для измерения уровня,1500-05-04,Установка КИП для измерения уровня,16160-13,Автоматизация,,,,
1500-06-01-12 – Монтаж местных панелей весом до 50 кг,1500-06-01-12,Монтаж местных панелей весом до 50 кг,16160-13,Автоматизация,шт. / pcs,,,
1500-04-02 – Расключение армированного медного кабеля,1500-04-02,Расключение армированного медного кабеля,16160-13,Автоматизация,,,,
"1500-06 – МОНТАЖНЫЕ РАБОТЫ В АППАРАТНОЙ, ОПЕРАТОРНОЙ, КОНТРОЛЛЕРНОЙ,1500-06,""МОНТАЖНЫЕ РАБОТЫ В АППАРАТНОЙ, ОПЕРАТОРНОЙ, КОНТРОЛЛЕРНОЙ"",16160-13 ,Автоматизация, ,,,",,,,,,,,
"1500-05-09 – Малогабаритные металлоконструкции для опор и опорных рам, оцинкованная сталь,1500-05-09,""Малогабаритные металлоконструкции для опор и опорных рам,",,,,,,,,
"оцинкованная сталь"",16160-13 ,Автоматизация, ,,,",,,,,,,,
1500-04-06-02 – Провод заземления сечением до 16 mm²,1500-04-06-02,Провод заземления сечением до 16 mm²,16160-13,Автоматизация,шт. / pcs,,,
"1500-02-01 – Монтаж магистральных кабеленесущих систем, не включая опоры,1500-02-01,""Монтаж магистральных кабеленесущих систем, не включая опоры"",16160-13 ,Автоматизация,,,,",,,,,,,,
1500-03-10-15 – Трубная кабельная проходка до d= 70мм,1500-03-10-15,Трубная кабельная проходка до d= 70мм,16160-13,Автоматизация,шт. / pcs,,,
"1500-03-10 – Монтаж кабельных проходок, труб и уплотнительных блоков,1500-03-10,""Монтаж кабельных проходок, труб и уплотнительных блоков"",16160-13 ,Автоматизация, ,,,",,,,,,,,
"1500-04-01-04 – Контрольный не армированный кабель с медными жилами сечением от 1.5мм до 2.5 мм и количеством жил от 2 до 16 шт,1500-04-01-04,""Контрольный не армированный кабель с медными жилами сечением от",,,,,,,,
"1.5мм до 2.5 мм и количеством жил от 2 до 16 шт"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
1500-05-03 – Установка КИП для измерения температуры,1500-05-03,Установка КИП для измерения температуры,16160-13,Автоматизация,,,,
"1500-02-04-02 – Монтаж крышки кабельной лестницы или лотка шириной от 150мм до 250мм,1500-02-04-02,""Монтаж крышки кабельной лестницы или лотка шириной от 150мм до",,,,,,,,
"250мм"",16160-13 ,Автоматизация,м / m,,,",,,,,,,,
"1500-05-02-04 – Преобразователь /датчик дифференциального давления (с импульсной трубкой),1500-05-02-04,""Преобразователь /датчик дифференциального давления (с импульсной",,,,,,,,
"трубкой)"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
1500-03 – ПРОКЛАДКА КАБЕЛЯ,1500-03,ПРОКЛАДКА КАБЕЛЯ,16160-13,Автоматизация,,,,
"1500-05-09-01 – Малогабаритная металлоконструкция, оцинкованная сталь,1500-05-09-01,""Малогабаритная металлоконструкция, оцинкованная сталь"",16160-13 ,Автоматизация,кг / kg,,,",,,,,,,,
"1500-03-10-01 – Рама, тип 1 (до 200 x 200 мм),1500-03-10-01,""Рама, тип 1 (до 200 x 200 мм)"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
1500-04 – РАСКЛЮЧЕНИЕ КАБЕЛЯ,1500-04,РАСКЛЮЧЕНИЕ КАБЕЛЯ,16160-13,Автоматизация,,,,
"1500-04-01-02 – Контрольный не армированный кабель с медными жилами сечением от 0.5мм до 1.0 мм и количеством жил от 17 до 32 шт,1500-04-01-02,""Контрольный не армированный кабель с медными жилами сечением от",,,,,,,,
"0.5мм до 1.0 мм и количеством жил от 17 до 32 шт"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
1500-05-04-02 – Вибрационные сигнализаторы,1500-05-04-02,Вибрационные сигнализаторы,16160-13,Автоматизация,шт. / pcs,,,
1500-03-10-07 – Секция вкладыша 20 x 20 мм,1500-03-10-07,Секция вкладыша 20 x 20 мм,16160-13,Автоматизация,шт. / pcs,,,
1500-05-02-03 – Преобразователь /датчик давления (с импульсной трубкой),1500-05-02-03,Преобразователь /датчик давления (с импульсной трубкой),16160-13,Автоматизация,шт. / pcs,,,
"1500-02-03-10 – Монтаж перфорированного кабельного лотка шириной от 150мм до 250мм,1500-02-03-10,""Монтаж перфорированного кабельного лотка шириной от 150мм до",,,,,,,,
"250мм"",16160-13 ,Автоматизация,м / m,""306,00"",""₽ 3949,61"",""₽ 1208580,66""",,,,,,,,
1500-02 – ИТОГО МОНТАЖ КАБЕЛЕНЕСУЩИХ СИСТЕМ,1500-02,ИТОГО МОНТАЖ КАБЕЛЕНЕСУЩИХ СИСТЕМ,16160-13,Автоматизация,,,,
"1500-03-01 – Монтаж медного кабеля, не бронированного, надземная прокладка,1500-03-01,""Монтаж медного кабеля, не бронированного, надземная прокладка"",16160-13 ,Автоматизация, ,,,",,,,,,,,
"1500-05-03-03 – Датчики температуры (электронный датчик, преобразователь температуры) на резьбовом соединении,1500-05-03-03,""Датчики температуры (электронный датчик, преобразователь",,,,,,,,
"температуры) на резьбовом соединении"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
"1500-05-07 – Установка шкафов, распределительных коробок, локальных станций управления, кнопочных постов, переключателей,1500-05-07,""Установка шкафов, распределительных коробок, локальных станций",,,,,,,,
"управления, кнопочных постов, переключателей"",16160-13 ,Автоматизация, ,,,",,,,,,,,
"1500-06-01-01 – Шкаф, щит, кроссовый шкаф до 805 x 2200 x 805мм (ШхВхГ), до 350кг,1500-06-01-01,""Шкаф, щит, кроссовый шкаф до 805 x 2200 x 805мм (ШхВхГ), до",,,,,,,,
"350кг"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
"1500-04-01-01 – Контрольный не армированный кабель с медными жилами сечением от 0.5мм до 1.0 мм и количеством жил от 2 до 16 шт,1500-04-01-01,""Контрольный не армированный кабель с медными жилами сечением от",,,,,,,,
"0.5мм до 1.0 мм и количеством жил от 2 до 16 шт"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
"1500-03-10-03 – Рама, тип 3 (от 360 x 360 мм до 450 х 450мм ),1500-03-10-03,""Рама, тип 3 (от 360 x 360 мм до 450 х 450мм )"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
1500-05 – МОНТАЖ ОБОРУДОВАНИЯ НА СТРОИТЕЛЬНОЙ ПЛОЩАДКЕ,1500-05,МОНТАЖ ОБОРУДОВАНИЯ НА СТРОИТЕЛЬНОЙ ПЛОЩАДКЕ,16160-13,Автоматизация,,,,
1500-02-01-02 – Монтаж кабельной лестницы или лотка шириной от 200мм до 300мм,1500-02-01-02,Монтаж кабельной лестницы или лотка шириной от 200мм до 300мм,16160-13,Автоматизация,м / m,,,
1500-03-10-17 – Трубная кабельная проходка до d= 110мм,1500-03-10-17,Трубная кабельная проходка до d= 110мм,16160-13,Автоматизация,шт. / pcs,,,
"1500-05-03-06 – Датчик температуры бесконтактный (инфракрасный, пирометр),1500-05-03-06,""Датчик температуры бесконтактный (инфракрасный, пирометр)"",16160-13 ,Автоматизация,шт. / pcs,,,",,,,,,,,
1500-03-10-09 – Секция вкладыша 40 x 40 мм,1500-03-10-09,Секция вкладыша 40 x 40 мм,16160-13,Автоматизация,шт. / pcs,,,
"1500-02-05 – Монтаж защитной трубы, включая опоры под нее,1500-02-05,""Монтаж защитной трубы, включая опоры под нее"",16160-13 ,Автоматизация, ,,,",,,,,,,,
1500-03-10-18 – Трубная кабельная проходка до d= 150мм,1500-03-10-18,Трубная кабельная проходка до d= 150мм,16160-13,Автоматизация,шт. / pcs,,,
1500-02-05-02 – Трубы стальные гофрированные (металлорукава) от М20 до М32,1500-02-05-02,Трубы стальные гофрированные (металлорукава) от М20 до М32,16160-13,Автоматизация,м / m,,,
"1500-02-03-11 – Монтаж перфорированного кабельного лотка шириной от 300мм до 450мм,1500-02-03-11,""Монтаж перфорированного кабельного лотка шириной от 300мм до",,,,,,,,
"450мм"",16160-13 ,Автоматизация,м / m,""120,00"",""₽ 6000,00"",""₽ 720000,00""",,,,,,,,
